exposure_bin,n,mean_exposure,median_exposure,mean_shap,median_shap,std_shap,se_shap,ci_lower,ci_upper,target,model,feature
0,478,0.0,0.0,0.020475572029010083,0.02327454025544731,0.019308378378702334,0.0008831446708524623,0.01874460847413926,0.02220653558388091,Top10,M2A_asymmetric_gain_loss,recent_gain_exposure
>0–2,144,1.5625,2.0,0.007763432545769119,0.006931568715228851,0.016509937229637013,0.0013758281024697512,0.005066809464928407,0.010460055626609831,Top10,M2A_asymmetric_gain_loss,recent_gain_exposure
>2–5,147,3.8435374149659864,4.0,0.0061514995366408025,0.006255436069553066,0.01631890630796768,0.0013459607071122032,0.0035134165507008843,0.00878958252258072,Top10,M2A_asymmetric_gain_loss,recent_gain_exposure
>5–10,168,7.690476190476191,8.0,-0.005726981380412053,-0.0050199024482096306,0.025856041736070125,0.0019948369283176413,-0.009636861759914631,-0.0018171010009094763,Top10,M2A_asymmetric_gain_loss,recent_gain_exposure
>10–15,62,12.612903225806452,12.5,-0.03204702400512331,-0.045278517231076176,0.0508903558644507,0.006463081657870128,-0.04471466405454876,-0.01937938395569786,Top10,M2A_asymmetric_gain_loss,recent_gain_exposure
>15–20,16,17.1875,17.0,0.013466217343319042,0.012353297057491355,0.06356479124218754,0.015891197810546886,-0.017680530365352852,0.04461296505199094,Top10,M2A_asymmetric_gain_loss,recent_gain_exposure
>20,7,21.857142857142858,21.0,0.005429880698379442,-0.024074497787647725,0.08055194630250237,0.030445773934092875,-0.05424383621244259,0.06510359760920147,Top10,M2A_asymmetric_gain_loss,recent_gain_exposure
0,576,0.0,0.0,-0.04383319677170346,-0.039053529667045186,0.02700394167994344,0.00112516423666431,-0.04603851867556551,-0.04162787486784142,Top10,M2A_asymmetric_gain_loss,recent_loss_exposure
>0–2,126,1.5634920634920635,2.0,0.0025694570096216488,0.0012326129881299233,0.026296460445212673,0.002342674892162828,-0.002022185779017494,0.007161099798260791,Top10,M2A_asymmetric_gain_loss,recent_loss_exposure
>2–5,89,3.8764044943820224,4.0,0.012654724875261057,-0.0026775862328013824,0.030721950555343516,0.0032565202458324344,0.006271945193429486,0.01903750455709263,Top10,M2A_asymmetric_gain_loss,recent_loss_exposure
>5–10,123,7.845528455284553,8.0,0.04530796165905376,0.05179215668502048,0.027415546864925488,0.0024719766125905233,0.04046288749837633,0.050153035819731184,Top10,M2A_asymmetric_gain_loss,recent_loss_exposure
>10–15,64,13.1875,13.0,0.07447556218272992,0.07983659917859001,0.03001777543291475,0.0037522219291143437,0.06712120720166581,0.08182991716379404,Top10,M2A_asymmetric_gain_loss,recent_loss_exposure
>15–20,21,18.19047619047619,18.0,0.08030845021004808,0.07830057572350416,0.03430355212576,0.007485648772483739,0.06563657861597995,0.09498032180411621,Top10,M2A_asymmetric_gain_loss,recent_loss_exposure
>20,23,26.956521739130434,25.0,0.117404261764898,0.09077395440812674,0.062406205968712866,0.013012593471091287,0.09189957856155909,0.14290894496823692,Top10,M2A_asymmetric_gain_loss,recent_loss_exposure
0,478,0.0,0.0,-0.04243544140773172,-0.034066638483342314,0.017711773745218914,0.0008101176747027217,-0.044023272050149054,-0.04084761076531439,Podium,M2A_asymmetric_gain_loss,recent_gain_exposure
>0–2,144,1.5625,2.0,-0.029253763990799056,-0.03091203613658943,0.017765217621893984,0.0014804348018244986,-0.032155416202375074,-0.026352111779223038,Podium,M2A_asymmetric_gain_loss,recent_gain_exposure
>2–5,147,3.8435374149659864,4.0,0.01755461369814383,0.022742046127666605,0.026362558651193045,0.0021743471905419434,0.013292893204681622,0.02181633419160604,Podium,M2A_asymmetric_gain_loss,recent_gain_exposure
>5–10,168,7.690476190476191,8.0,0.047941554084858506,0.04695573729028573,0.017618707507875996,0.0013593127952337628,0.04527730100620033,0.05060580716351668,Podium,M2A_asymmetric_gain_loss,recent_gain_exposure
>10–15,62,12.612903225806452,12.5,0.0631542426648364,0.058738062544660206,0.02503317942779496,0.003179216966548516,0.0569229774104013,0.06938550791927149,Podium,M2A_asymmetric_gain_loss,recent_gain_exposure
>15–20,16,17.1875,17.0,0.06849610443742223,0.06917204300414892,0.04383251100309877,0.010958127750774692,0.04701817404590383,0.08997403482894062,Podium,M2A_asymmetric_gain_loss,recent_gain_exposure
>20,7,21.857142857142858,21.0,0.08925559720408448,0.09712828739982172,0.032404307740632375,0.012247677098416938,0.06525015009118729,0.11326104431698167,Podium,M2A_asymmetric_gain_loss,recent_gain_exposure
0,576,0.0,0.0,-0.02858273740013028,-0.032941835935654494,0.011722683323023748,0.0004884451384593228,-0.029540089871510553,-0.027625384928750007,Podium,M2A_asymmetric_gain_loss,recent_loss_exposure
>0–2,126,1.5634920634920635,2.0,-0.01885146292750564,-0.019724567314875756,0.014281284472075413,0.001272277941370499,-0.02134512769259182,-0.016357798162419463,Podium,M2A_asymmetric_gain_loss,recent_loss_exposure
>2–5,89,3.8764044943820224,4.0,0.00325819924758816,0.0010706890974136211,0.010147816135285882,0.001075666359009737,0.0011498931839290755,0.005366505311247244,Podium,M2A_asymmetric_gain_loss,recent_loss_exposure
>5–10,123,7.845528455284553,8.0,0.036033278833359106,0.035697416856055035,0.024722848647362843,0.0022291841907805874,0.031664077819429155,0.040402479847289056,Podium,M2A_asymmetric_gain_loss,recent_loss_exposure
>10–15,64,13.1875,13.0,0.06722065370057184,0.059606315658603665,0.0284865266266268,0.00356081582832835,0.06024145467704828,0.0741998527240954,Podium,M2A_asymmetric_gain_loss,recent_loss_exposure
>15–20,21,18.19047619047619,18.0,0.08307663387478847,0.08988269683034415,0.02862216168586247,0.0062458677370823635,0.07083473311010705,0.0953185346394699,Podium,M2A_asymmetric_gain_loss,recent_loss_exposure
>20,23,26.956521739130434,25.0,0.09468700537105576,0.11113387398372959,0.08321844512568356,0.017352245324122738,0.0606766045357752,0.12869740620633632,Podium,M2A_asymmetric_gain_loss,recent_loss_exposure
