surprise_bin,n,mean_surprise,median_surprise,mean_shap,median_shap,std_shap,se_shap,ci_lower,ci_upper,target,model,feature
0,552,0.0,0.0,-0.005925336645162196,-0.002187387221811921,0.010343273717393877,0.0004402389650678429,-0.006788205016695168,-0.005062468273629224,Top10,M1A_asymmetric_qualifying,positive_qualifying_surprise
>0–2,197,1.4619289340101522,1.0,-0.006522973481238836,-0.002187387221811921,0.009369756333318185,0.0006675674978544537,-0.007831405777033566,-0.005214541185444107,Top10,M1A_asymmetric_qualifying,positive_qualifying_surprise
>2–5,162,3.8641975308641974,4.0,0.007838126562244023,0.004088022391534331,0.024555254729599955,0.0019292430147847968,0.004056810253265821,0.011619442871222225,Top10,M1A_asymmetric_qualifying,positive_qualifying_surprise
>5–10,98,7.326530612244898,7.0,0.04873078001599337,0.008608772832227145,0.06654025066178136,0.006721580352114036,0.03555648252584986,0.06190507750613688,Top10,M1A_asymmetric_qualifying,positive_qualifying_surprise
>10–15,13,12.461538461538462,13.0,0.05636672743163785,0.09467195467088955,0.08040621339900833,0.022300671175078786,0.01265741192848343,0.10007604293479228,Top10,M1A_asymmetric_qualifying,positive_qualifying_surprise
>15–20,0,,,,,,,,,Top10,M1A_asymmetric_qualifying,positive_qualifying_surprise
>20,0,,,,,,,,,Top10,M1A_asymmetric_qualifying,positive_qualifying_surprise
0,589,0.0,0.0,0.000567192037640299,0.00326269871099259,0.008257839602017656,0.00034025835308865865,-9.971433441347195e-05,0.0012340984096940698,Top10,M1A_asymmetric_qualifying,negative_qualifying_surprise
>0–2,160,1.45625,1.0,-0.0009292653129419929,-3.7411791742783685e-05,0.007653218965647556,0.0006050400840861054,-0.0021151438777507595,0.0002566132518667737,Top10,M1A_asymmetric_qualifying,negative_qualifying_surprise
>2–5,161,3.8509316770186337,4.0,-0.017778140640815385,-0.016758897079197616,0.018114274182731656,0.0014276047984879098,-0.020576246045851686,-0.014980035235779081,Top10,M1A_asymmetric_qualifying,negative_qualifying_surprise
>5–10,88,7.556818181818182,7.0,-0.02609532200912308,-0.027795806775617694,0.027710768075302813,0.0029539778022093697,-0.031885118501453445,-0.020305525516792718,Top10,M1A_asymmetric_qualifying,negative_qualifying_surprise
>10–15,21,12.619047619047619,12.0,0.1097296369855427,0.01214385129069607,0.2041034650676251,0.044539027536912724,0.022433143013193754,0.19702613095789162,Top10,M1A_asymmetric_qualifying,negative_qualifying_surprise
>15–20,3,17.0,16.0,0.181319243760748,0.10542940543329316,0.25185203370371406,0.14540683945479402,-0.10367816157064827,0.4663166490921443,Top10,M1A_asymmetric_qualifying,negative_qualifying_surprise
>20,0,,,,,,,,,Top10,M1A_asymmetric_qualifying,negative_qualifying_surprise
0,552,0.0,0.0,-0.0005638182877105749,-0.00012586435084386552,0.003395794538148577,0.00014453461388569324,-0.0008471061309265336,-0.0002805304444946161,Podium,M1A_asymmetric_qualifying,positive_qualifying_surprise
>0–2,197,1.4619289340101522,1.0,0.003227011367093726,0.0013603945233809714,0.007615221945031854,0.0005425620985867111,0.0021635896538637726,0.00429043308032368,Podium,M1A_asymmetric_qualifying,positive_qualifying_surprise
>2–5,162,3.8641975308641974,4.0,0.004996054549841711,0.00402538428783089,0.00924775054614115,0.0007265719024331118,0.003571973621072812,0.00642013547861061,Podium,M1A_asymmetric_qualifying,positive_qualifying_surprise
>5–10,98,7.326530612244898,7.0,-0.0037552750520112796,0.0006868284619053573,0.02315931937418271,0.002339444539592798,-0.008340586349613164,0.0008300362455906044,Podium,M1A_asymmetric_qualifying,positive_qualifying_surprise
>10–15,13,12.461538461538462,13.0,-0.03212188231245387,-0.00627295667095401,0.05256048752898218,0.014577656373010062,-0.06069408880355359,-0.0035496758213541535,Podium,M1A_asymmetric_qualifying,positive_qualifying_surprise
>15–20,0,,,,,,,,,Podium,M1A_asymmetric_qualifying,positive_qualifying_surprise
>20,0,,,,,,,,,Podium,M1A_asymmetric_qualifying,positive_qualifying_surprise
0,589,0.0,0.0,0.01656545648392605,0.012447482443006067,0.009303742595469853,0.0003833540351548967,0.015814082575022453,0.01731683039282965,Podium,M1A_asymmetric_qualifying,negative_qualifying_surprise
>0–2,160,1.45625,1.0,0.00787878092583449,0.009866122244546919,0.016650141289090686,0.0013163092459284654,0.005298814803814699,0.010458747047854284,Podium,M1A_asymmetric_qualifying,negative_qualifying_surprise
>2–5,161,3.8509316770186337,4.0,-0.036976998589402316,-0.026568237988623296,0.02615760254477196,0.002061507876780116,-0.04101755402789134,-0.03293644315091329,Podium,M1A_asymmetric_qualifying,negative_qualifying_surprise
>5–10,88,7.556818181818182,7.0,-0.05153775008721217,-0.04709848604455018,0.02759466354713018,0.002941601017920102,-0.05730328808233557,-0.04577221209208877,Podium,M1A_asymmetric_qualifying,negative_qualifying_surprise
>10–15,21,12.619047619047619,12.0,-0.05072315432601689,-0.0255232127965361,0.04086025743382909,0.008916439171709707,-0.0681993751025679,-0.03324693354946586,Podium,M1A_asymmetric_qualifying,negative_qualifying_surprise
>15–20,3,17.0,16.0,-0.0600209598853176,-0.10373625056190681,0.0768629868361182,0.0443768661405515,-0.14699961752079854,0.026957697750163344,Podium,M1A_asymmetric_qualifying,negative_qualifying_surprise
>20,0,,,,,,,,,Podium,M1A_asymmetric_qualifying,negative_qualifying_surprise
