target,model,feature,mean_abs_shap,importance_share,importance_rank
Podium,M1A_asymmetric_qualifying,negative_qualifying_surprise,0.023491273502323627,0.010797888416404767,10.0
Podium,M1A_asymmetric_qualifying,positive_qualifying_surprise,0.0056483543066092245,0.0025962960046867147,12.0
Podium,M2A_asymmetric_gain_loss,recent_gain_exposure,0.0413218699712472,0.019096852446662305,8.0
Podium,M2A_asymmetric_gain_loss,recent_loss_exposure,0.03201689148048091,0.014796567842379501,9.0
Podium,M3A_full_asymmetric,recent_loss_exposure,0.049664249466297765,0.022963142870391733,7.0
Podium,M3A_full_asymmetric,recent_gain_exposure,0.042620898100817234,0.019706524972608875,8.0
Podium,M3A_full_asymmetric,negative_qualifying_surprise,0.0254842569233024,0.011783096270742588,12.0
Podium,M3A_full_asymmetric,positive_qualifying_surprise,0.003305521458078439,0.0015283662255786258,14.0
Top10,M1A_asymmetric_qualifying,positive_qualifying_surprise,0.014838321459958117,0.007706860710668189,9.0
Top10,M1A_asymmetric_qualifying,negative_qualifying_surprise,0.014257144780479764,0.007405003945459588,10.0
Top10,M2A_asymmetric_gain_loss,recent_loss_exposure,0.043928389296912285,0.02209974258681639,9.0
Top10,M2A_asymmetric_gain_loss,recent_gain_exposure,0.023112032091755955,0.011627331847606533,10.0
Top10,M3A_full_asymmetric,recent_loss_exposure,0.0563722734077502,0.028086966130990817,7.0
Top10,M3A_full_asymmetric,recent_gain_exposure,0.018559396270957196,0.009247048290983871,10.0
Top10,M3A_full_asymmetric,negative_qualifying_surprise,0.01633688570923947,0.008139702869215714,11.0
Top10,M3A_full_asymmetric,positive_qualifying_surprise,0.013176113940760495,0.006564877440996319,12.0
